"","Treatment_names","QALYs","Costs","Net_benefit","Inc.Net_benefit","ICER"
"Implant MoP Cem CR_Fix Mod","Implant MoP Cem CR_Fix Mod","10.91 (6.77 ,14.48)","3899.88 (958.77 ,9781.24)","214241.92 (124625.19 ,287484.38)","0.00 (0.00 ,0.00)","NaN"
"Implant MoP Cem CR_Fix Mono","Implant MoP Cem CR_Fix Mono","10.76 (6.22 ,14.48)","4064.69 (902.61 ,10666.55)","211169.18 (115074.93 ,287644.37)","-3072.74 (-111127.19 ,93245.43)","Dominated"
"Implant MoP Cem CR_Mob Mod","Implant MoP Cem CR_Mob Mod","10.84 (6.49 ,14.38)","3981.28 (740.53 ,9818.79)","212915.28 (120521.84 ,285712.96)","-1326.63 (-93308.69 ,91588.78)","Dominated"
"Implant MoP Cem PS_Fix Mod","Implant MoP Cem PS_Fix Mod","10.83 (6.28 ,14.13)","3978.43 (659.07 ,10033.68)","212591.93 (115098.79 ,280309.48)","-1649.99 (-105085.36 ,95376.14)","Dominated"
"Implant MoP Cem PS_Mob Mod","Implant MoP Cem PS_Mob Mod","10.71 (6.11 ,14.27)","4242.91 (1016.80 ,10613.92)","209895.87 (112833.53 ,283450.98)","-4346.05 (-107788.49 ,98507.54)","Dominated"
"Implant MoP Cem Con_Con Mod","Implant MoP Cem Con_Con Mod","10.57 (5.92 ,14.36)","4339.70 (664.53 ,11005.16)","207118.74 (111041.95 ,284955.25)","-7123.18 (-111877.50 ,95640.75)","Dominated"
"Implant MoP Unc CR_Fix Mod","Implant MoP Unc CR_Fix Mod","10.59 (6.00 ,14.23)","4409.68 (625.84 ,11301.86)","207310.48 (111280.39 ,282305.68)","-6931.44 (-116353.16 ,92573.95)","Dominated"
"Implant MoP Unc CR_Mob Mod","Implant MoP Unc CR_Mob Mod","10.44 (5.59 ,14.29)","4507.82 (428.97 ,11563.25)","2e+05 (1e+05 ,284086.21)","-10035.65 (-126641.74 ,95746.85)","Dominated"
"Implant MoP Unc PS_Fix Mod","Implant MoP Unc PS_Fix Mod","10.30 (5.63 ,14.31)","4706.58 (486.89 ,11170.98)","2e+05 (1e+05 ,282940.81)","-13028.02 (-120571.50 ,95844.56)","Dominated"
"Implant MoP Hyb CR_Fix Mod","Implant MoP Hyb CR_Fix Mod","10.34 (5.52 ,14.19)","4617.72 (630.30 ,11795.88)","2e+05 (1e+05 ,281054.91)","-11982.51 (-118668.26 ,96447.56)","Dominated"
"Implant OX Cem CR_Fix Mod","Implant OX Cem CR_Fix Mod","10.21 (5.33 ,13.99)","4890.37 (740.39 ,11168.87)","2e+05 (97189.65 ,278301.64)","-14856.69 (-117200.35 ,88811.31)","Dominated"
"Implant OX Cem PS_Fix Mod","Implant OX Cem PS_Fix Mod","10.41 (5.82 ,14.25)","4709.71 (336.80 ,11847.06)","2e+05 (105008.73 ,282872.57)","-10686.76 (-117600.04 ,92444.43)","Dominated"
